tree_id	block_id	created_at	tree_dbh	stump_diam	curb_loc	status	health	spc_latin	spc_common	steward	guards	sidewalk	user_type	problems	root_stone	root_grate	root_other	trunk_wire	trnk_light	trnk_other	brch_light	brch_shoe	brch_other	address	postcode	zip_city	community board	borocode	borough	cncldist	st_assem	st_senate	nta	nta_name	boro_ct	state	latitude	longitude	x_sp	y_sp	council district	census tract	bin	bbl
191733	310427	2015-08-31T00:00:00.000	4	0	OnCurb	Alive	Good	Quercus palustris	pin oak	None	None	NoDamage	TreesCount Staff	None	No	No	No	No	No	No	No	No	No	123-011 82 ROAD	11415	Kew Gardens	409	4	Queens	29	27	14	QN60	Kew Gardens	4021600	New York	40.71175384	-73.82794408	1031949.366	198634.4597	29	216	4080162	4033590035
209913	108875	2015-09-08T00:00:00.000	21	0	OnCurb	Alive	Good	Quercus palustris	pin oak	1or2	None	NoDamage	TreesCount Staff	None	No	No	No	No	No	No	No	No	No	3000 BROADWAY	10027	New York	109	1	Manhattan	7	69	30	MN09	Morningside Heights	1020500	New York	40.80907709	-73.96312072	994459.1872	234047.8184	7	203	1084468	1019730001
194656	413528	2015-09-01T00:00:00.000	3	0	OnCurb	Alive	Fair	Quercus palustris	pin oak	1or2	None	Damage	TreesCount Staff	RootOther	No	No	Yes	No	No	No	No	No	No	630 ARTHUR KILL ROAD	10308	Staten Island	503	5	Staten Island	51	62	24	SI54	Great Kills	5014607	New York	40.5602591	-74.16264761	939056.4306	143435.9359	51	14607	5073072	5054940088
192702	206426	2015-08-31T00:00:00.000	20	0	OnCurb	Alive	Good	Acer rubrum	red maple	1or2	Harmful	NoDamage	TreesCount Staff	None	No	No	No	No	No	No	No	No	No	6912 17 AVENUE	11204	Brooklyn	311	3	Brooklyn	43	49	22	BK28	Bensonhurst West	3026200	New York	40.61799206	-73.99518627	985586.3966	164427.5918	43	262	3156650	3061590046
191162	224127	2015-08-31T00:00:00.000	11	0	OnCurb	Alive	Good	Ginkgo biloba	ginkgo	1or2	None	NoDamage	Volunteer	Stones	Yes	No	No	No	No	No	No	No	No	148 SUMMIT STREET	11231	Brooklyn	306	3	Brooklyn	39	52	26	BK33	Carroll Gardens-Columbia Street-Red Hook	3006300	New York	40.68162051	-74.00147075	983842.0772	187609.1567	39	63	3005052	3003590015
191248	232171	2015-08-31T00:00:00.000	3	0	OnCurb	Alive	Poor	Gleditsia triacanthos var. inermis	honeylocust	1or2	None	Damage	Volunteer	None	No	No	No	No	No	No	No	No	No	2201 BEDFORD AVENUE	11226	Brooklyn	317	3	Brooklyn	40	42	21	BK95	Erasmus	3079400	New York	40.65015942	-73.95571955	996537.2982	176150.0946	40	794	3117236	3051040010
189708	223525	2015-08-30T00:00:00.000	13	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	3or4	Helpful	NoDamage	Volunteer	None	No	No	No	No	No	No	No	No	No	209 LINCOLN PLACE	11217	Brooklyn	306	3	Brooklyn	39	52	21	BK37	Park Slope-Gowanus	3015900	New York	40.67524604	-73.97323052	991675.4182	185287.8821	39	159	3024466	3010590061
201682	515571	2015-09-04T00:00:00.000	11	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	None	None	Damage	TreesCount Staff	None	No	No	No	No	No	No	No	No	No	719 CRANFORD AVENUE	10470	Bronx	212	2	Bronx	11	81	36	BX62	Woodlawn-Wakefield	2044200	New York	40.90339978	-73.84936673	1025890.264	268446.8536	11	442	2100038	2051120014
195151	342130	2015-09-01T00:00:00.000	3	0	OnCurb	Alive	Good	Tilia americana	American linden	1or2	None	Damage	TreesCount Staff	None	No	No	No	No	No	No	No	No	No	25-015 98 STREET	11369	East Elmhurst	403	4	Queens	21	35	13	QN27	East Elmhurst	4036700	New York	40.764166	-73.87162804	1019810.812	217709.0774	21	367	4032800	4013720083
173925	206411	2015-08-25T00:00:00.000	10	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	None	None	NoDamage	TreesCount Staff	None	No	No	No	No	No	No	No	No	No	6501 18 AVENUE	11204	Brooklyn	311	3	Brooklyn	47	49	17	BK28	Bensonhurst West	3025200	New York	40.61891585	-73.99026972	986951.3017	164764.2673	47	252	3412963	3055540009
178756	106241	2015-08-26T00:00:00.000	14	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	1or2	Helpful	NoDamage	Volunteer	None	No	No	No	No	No	No	No	No	No	110 WEST 71 STREET	10023	New York	107	1	Manhattan	6	67	27	MN14	Lincoln Square	1015700	New York	40.77688357	-73.97980287	989843.8185	222317.101	6	157	1029765	1011420037
