tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,sidewalk,problems,trunk_wire,brch_shoe,address,borough
204208,204913,2015-09-05,2,0,OnCurb,Alive,Fair,Ginkgo biloba,ginkgo,Damage,None,No,No,8797 25 AVENUE,Brooklyn
161339,230864,2015-08-20,14,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,Damage,None,No,No,1601 CHURCH AVENUE,Brooklyn
187311,342816,2015-08-29,14,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,TrunkLightsBranchLights,No,No,55-026 96 STREET,Queens
208201,219258,2015-09-07,10,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,NoDamage,Stones,No,No,206 CARLTON AVENUE,Brooklyn
193093,225564,2015-08-31,11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,None,No,No,367 PROSPECT AVENUE,Brooklyn
193310,107600,2015-08-31,14,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,Damage,RootOtherTrunkOtherBranchOther,No,No,170 EAST 75 STREET,Manhattan
199760,107038,2015-09-03,4,0,OnCurb,Alive,Fair,Quercus phellos,willow oak,NoDamage,None,No,No,2163 BROADWAY,Manhattan
204325,415427,2015-09-05,9,0,OnCurb,Alive,Good,Acer pseudoplatanus,sycamore maple,NoDamage,BranchOther,No,No,301 THOMAS STREET,Staten Island
189700,223525,2015-08-30,2,0,OnCurb,Alive,Good,Quercus phellos,willow oak,NoDamage,None,No,No,26 8 AVENUE,Brooklyn
205044,206800,2015-09-05,5,0,OnCurb,Alive,Good,Acer ginnala,Amur maple,NoDamage,Stones,No,No,134 BAY 40 STREET,Brooklyn
192942,310298,2015-08-31,33,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,StonesBranchLights,No,No,84-036 127 STREET,Queens
195265,227489,2015-09-01,19,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,401 AVENUE O,Brooklyn
201555,102919,2015-09-04,9,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,None,No,No,71 STANTON STREET,Manhattan
208407,345512,2015-09-07,9,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,Damage,TrunkOtherBranchLights,No,No,1817 DE KALB AVENUE,Queens
189164,223133,2015-08-30,7,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,None,No,No,456 5 AVENUE,Brooklyn
184375,505172,2015-08-29,3,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,Stones,No,No,2022 LA FONTAINE AVENUE,Bronx
187056,106107,2015-08-29,7,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,MetalGratesTrunkOther,No,No,1880 BROADWAY,Manhattan
187058,106107,2015-08-29,5,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,MetalGratesTrunkOther,No,No,1 WEST 62 STREET,Manhattan
178659,406774,2015-08-26,4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,None,No,No,434 RARITAN AVENUE,Staten Island
190423,106099,2015-08-30,12,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,None,No,No,120 WEST 60 STREET,Manhattan
190425,106099,2015-08-30,13,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,None,No,No,120 WEST 60 STREET,Manhattan
211205,302080,2015-09-09,0,16,OnCurb,Stump,,,,,,No,No,21-023 24 DRIVE,Queens
